Simulation 1:,4.8100,4.8128,4.8126,4.8126,4.8140,
Simulation 2:,4.8100,4.8094,4.8105,4.8096,4.8084,
Simulation 3:,4.8100,4.8092,4.8105,4.8099,4.8085,
Simulation 4:,4.8100,4.8086,4.8103,4.8090,4.8090,
Simulation 5:,4.8100,4.8104,4.8112,4.8120,4.8101,
Simulation 6:,4.8100,4.8078,4.8070,4.8070,4.8070,
Simulation 7:,4.8100,4.8109,4.8101,4.8099,4.8104,
Simulation 8:,4.8100,4.8102,4.8108,4.8108,4.8106,
Simulation 9:,4.8100,4.8098,4.8100,4.8093,4.8098,
Simulation 10:,4.8100,4.8098,4.8106,4.8097,4.8096,
Simulation 11:,4.8100,4.8093,4.8106,4.8106,4.8113,
Simulation 12:,4.8100,4.8107,4.8106,4.8098,4.8094,
Simulation 13:,4.8100,4.8093,4.8091,4.8086,4.8073,
Simulation 14:,4.8100,4.8098,4.8091,4.8105,4.8102,
Simulation 15:,4.8100,4.8108,4.8113,4.8118,4.8127,
Simulation 16:,4.8100,4.8083,4.8076,4.8072,4.8079,
Simulation 17:,4.8100,4.8091,4.8080,4.8079,4.8101,
Simulation 18:,4.8100,4.8116,4.8109,4.8104,4.8111,
Simulation 19:,4.8100,4.8100,4.8105,4.8085,4.8078,
Simulation 20:,4.8100,4.8106,4.8109,4.8106,4.8098,
Simulation 21:,4.8100,4.8110,4.8122,4.8133,4.8133,
Simulation 22:,4.8100,4.8088,4.8079,4.8080,4.8078,
Simulation 23:,4.8100,4.8098,4.8101,4.8115,4.8112,
Simulation 24:,4.8100,4.8101,4.8093,4.8101,4.8099,
Simulation 25:,4.8100,4.8106,4.8119,4.8121,4.8112,
Simulation 26:,4.8100,4.8092,4.8093,4.8096,4.8089,
Simulation 27:,4.8100,4.8095,4.8115,4.8124,4.8132,
Simulation 28:,4.8100,4.8094,4.8103,4.8106,4.8106,
Simulation 29:,4.8100,4.8114,4.8112,4.8111,4.8104,
Simulation 30:,4.8100,4.8101,4.8103,4.8122,4.8114,
Simulation 31:,4.8100,4.8100,4.8081,4.8068,4.8069,
Simulation 32:,4.8100,4.8095,4.8103,4.8107,4.8111,
Simulation 33:,4.8100,4.8114,4.8105,4.8109,4.8106,
Simulation 34:,4.8100,4.8112,4.8110,4.8100,4.8098,
Simulation 35:,4.8100,4.8092,4.8085,4.8077,4.8088,
Simulation 36:,4.8100,4.8107,4.8113,4.8095,4.8098,
Simulation 37:,4.8100,4.8113,4.8125,4.8117,4.8115,
Simulation 38:,4.8100,4.8096,4.8092,4.8086,4.8077,
Simulation 39:,4.8100,4.8074,4.8069,4.8071,4.8063,
Simulation 40:,4.8100,4.8116,4.8099,4.8085,4.8091,
Simulation 41:,4.8100,4.8100,4.8120,4.8099,4.8109,
Simulation 42:,4.8100,4.8085,4.8096,4.8108,4.8107,
Simulation 43:,4.8100,4.8090,4.8098,4.8091,4.8085,
Simulation 44:,4.8100,4.8085,4.8069,4.8060,4.8054,
Simulation 45:,4.8100,4.8099,4.8109,4.8103,4.8107,
Simulation 46:,4.8100,4.8101,4.8116,4.8124,4.8127,
Simulation 47:,4.8100,4.8103,4.8102,4.8115,4.8130,
Simulation 48:,4.8100,4.8084,4.8093,4.8082,4.8074,
Simulation 49:,4.8100,4.8094,4.8076,4.8098,4.8093,
Simulation 50:,4.8100,4.8102,4.8099,4.8096,4.8112,
Simulation 51:,4.8100,4.8091,4.8084,4.8078,4.8083,
Simulation 52:,4.8100,4.8091,4.8093,4.8082,4.8076,
Simulation 53:,4.8100,4.8095,4.8102,4.8087,4.8095,
Simulation 54:,4.8100,4.8091,4.8084,4.8077,4.8083,
Simulation 55:,4.8100,4.8100,4.8095,4.8091,4.8102,
Simulation 56:,4.8100,4.8106,4.8101,4.8102,4.8095,
Simulation 57:,4.8100,4.8091,4.8092,4.8093,4.8088,
Simulation 58:,4.8100,4.8115,4.8104,4.8086,4.8091,
Simulation 59:,4.8100,4.8104,4.8098,4.8104,4.8108,
Simulation 60:,4.8100,4.8098,4.8098,4.8082,4.8077,
Simulation 61:,4.8100,4.8104,4.8102,4.8093,4.8091,
Simulation 62:,4.8100,4.8102,4.8094,4.8089,4.8096,
Simulation 63:,4.8100,4.8109,4.8105,4.8096,4.8095,
Simulation 64:,4.8100,4.8102,4.8118,4.8094,4.8084,
Simulation 65:,4.8100,4.8106,4.8113,4.8103,4.8107,
Simulation 66:,4.8100,4.8097,4.8087,4.8085,4.8079,
Simulation 67:,4.8100,4.8106,4.8102,4.8096,4.8095,
Simulation 68:,4.8100,4.8100,4.8121,4.8103,4.8093,
Simulation 69:,4.8100,4.8088,4.8075,4.8069,4.8097,
Simulation 70:,4.8100,4.8091,4.8087,4.8069,4.8065,
Simulation 71:,4.8100,4.8102,4.8106,4.8096,4.8090,
Simulation 72:,4.8100,4.8094,4.8093,4.8081,4.8074,
Simulation 73:,4.8100,4.8093,4.8085,4.8067,4.8066,
Simulation 74:,4.8100,4.8085,4.8101,4.8114,4.8107,
Simulation 75:,4.8100,4.8098,4.8098,4.8096,4.8107,
Simulation 76:,4.8100,4.8094,4.8120,4.8131,4.8140,
Simulation 77:,4.8100,4.8099,4.8083,4.8070,4.8047,
Simulation 78:,4.8100,4.8104,4.8088,4.8086,4.8103,
Simulation 79:,4.8100,4.8096,4.8093,4.8088,4.8080,
Simulation 80:,4.8100,4.8104,4.8111,4.8118,4.8104,
Simulation 81:,4.8100,4.8084,4.8095,4.8089,4.8093,
Simulation 82:,4.8100,4.8095,4.8093,4.8097,4.8095,
Simulation 83:,4.8100,4.8131,4.8140,4.8132,4.8134,
Simulation 84:,4.8100,4.8097,4.8095,4.8091,4.8085,
Simulation 85:,4.8100,4.8096,4.8104,4.8095,4.8080,
Simulation 86:,4.8100,4.8115,4.8123,4.8118,4.8135,
Simulation 87:,4.8100,4.8103,4.8103,4.8103,4.8108,
Simulation 88:,4.8100,4.8109,4.8111,4.8124,4.8130,
Simulation 89:,4.8100,4.8113,4.8113,4.8127,4.8137,
Simulation 90:,4.8100,4.8101,4.8101,4.8085,4.8089,
Simulation 91:,4.8100,4.8102,4.8113,4.8096,4.8112,
Simulation 92:,4.8100,4.8108,4.8115,4.8123,4.8120,
Simulation 93:,4.8100,4.8099,4.8084,4.8078,4.8069,
Simulation 94:,4.8100,4.8114,4.8115,4.8116,4.8098,
Simulation 95:,4.8100,4.8088,4.8064,4.8061,4.8061,
Simulation 96:,4.8100,4.8095,4.8099,4.8108,4.8114,
Simulation 97:,4.8100,4.8092,4.8094,4.8108,4.8111,
Simulation 98:,4.8100,4.8120,4.8119,4.8123,4.8100,
Simulation 99:,4.8100,4.8094,4.8097,4.8103,4.8111,
Simulation 100:,4.8100,4.8099,4.8088,4.8095,4.8097,
